id,atom_counts,z_variance
2dm-701,"{'Sb': 6, 'C': 6}",1.31
2dm-702,"{'Zr': 2, 'Cu': 2}",2.22
2dm-703,"{'Ni': 1, 'S': 1}",0.41
2dm-708,"{'In': 2, 'F': 2}",1.24
2dm-709,"{'Mo': 3, 'Se': 4}",3.65
2dm-710,"{'Tl': 8, 'S': 6}",3.13
2dm-715,"{'Sr': 2, 'P': 1}",9.75
2dm-722,"{'Ru': 2, 'F': 6}",1.02
2dm-724,"{'Y': 2, 'Si': 1}",1.31
2dm-732,"{'Ge': 4, 'Sb': 8}",2.01
2dm-735,"{'Sn': 2, 'As': 6}",0.66
2dm-738,"{'Dy': 2, 'I': 6}",1.55
2dm-739,"{'Sn': 4, 'P': 8}",1.95
2dm-740,"{'Np': 1, 'Cl': 3}",1.78
2dm-742,"{'Tl': 2, 'Fe': 1}",10.91
2dm-746,"{'Se': 4, 'F': 4}",11.61
2dm-747,"{'P': 4, 'S': 6}",1.49
2dm-750,"{'As': 6, 'C': 6}",1.21
2dm-751,"{'Sr': 2, 'Sb': 1}",9.66
2dm-752,"{'U': 2, 'F': 6}",1.05
2dm-753,"{'As': 2, 'Se': 3}",2.35
2dm-756,"{'In': 8, 'O': 6}",11.78
2dm-762,"{'Y': 1, 'I': 2}",1.65
2dm-763,"{'Nb': 4, 'S': 12}",1.99
2dm-765,"{'Ni': 1, 'As': 2}",1.36
2dm-767,"{'Si': 2, 'As': 6}",0.65
2dm-769,"{'Na': 6, 'O': 3}",0.74
2dm-776,"{'Si': 1, 'S': 1}",0.66
2dm-778,"{'Y': 2, 'Cl': 6}",1.32
2dm-780,"{'Sb': 2, 'Se': 3}",11.07
2dm-781,"{'Ge': 2, 'Te': 2}",0.98
2dm-783,"{'Sm': 2, 'Cl': 6}",1.34
2dm-784,"{'P': 8, 'C': 4}",1.52
2dm-6385,"{'Te': 1, 'C': 1}",0.56
2dm-789,"{'Sc': 1, 'Cl': 2}",1.33
2dm-790,"{'V': 4, 'Te': 2}",2.41
2dm-791,"{'As': 8, 'O': 16}",2.89
2dm-792,"{'Cu': 1, 'Se': 2}",1.19
2dm-799,"{'Ba': 2, 'Ir': 1}",1.44
2dm-800,"{'Ta': 4, 'Te': 12}",11.05
2dm-803,"{'B': 4, 'Cl': 4}",0.86
2dm-805,"{'Ge': 2, 'Se': 2}",0.89
2dm-810,"{'W': 2, 'Cl': 6}",1.2
2dm-814,"{'Al': 4, 'I': 4}",1.51
2dm-823,"{'Ge': 6, 'N': 6}",1.44
2dm-824,"{'Np': 2, 'Cl': 6}",1.37
2dm-825,"{'Sb': 2, 'Pt': 1}",1.46
2dm-829,"{'Mo': 2, 'S': 4}",1.28
2dm-830,"{'Nb': 4, 'Te': 2}",2.61
2dm-832,"{'V': 4, 'S': 2}",2.26
2dm-836,"{'Tl': 2, 'O': 3}",0
2dm-837,"{'Si': 12, 'Ni': 4}",2.08
2dm-841,"{'Ge': 2, 'Os': 1}",9.65
2dm-842,"{'B': 4, 'I': 4}",10.34
2dm-843,"{'Ga': 2, 'F': 2}",1.12
2dm-844,"{'Ti': 2, 'I': 2}",9.74
2dm-846,"{'Ga': 1, 'Br': 1}",1.17
2dm-849,"{'In': 4, 'Br': 4}",1.54
2dm-851,"{'Al': 8, 'S': 6}",2.83
2dm-852,"{'Hf': 2, 'F': 2}",1.93
2dm-855,"{'Be': 2, 'Ir': 1}",0.93
2dm-857,"{'Al': 18, 'Se': 9}",1.41
2dm-6388,"{'Si': 1, 'Se': 1}",0.71
2dm-860,"{'Ge': 2, 'As': 6}",0.65
2dm-865,"{'Hf': 2, 'Hg': 2}",2.33
2dm-868,"{'Al': 2, 'Se': 2}",1.96
2dm-869,"{'Tb': 2, 'I': 6}",1.55
2dm-870,"{'Y': 2, 'Br': 2}",10.6
2dm-872,"{'Nd': 2, 'I': 6}",1.6
2dm-874,"{'Sr': 10, 'Rh': 2}",10.49
2dm-875,"{'Sm': 2, 'F': 6}",0.99
2dm-881,"{'Tl': 2, 'As': 6}",0.63
2dm-882,"{'Ru': 8, 'Se': 10}",1.13
2dm-884,"{'Al': 8, 'Te': 6}",2.92
2dm-886,"{'Dy': 2, 'Br': 6}",1.41
2dm-888,"{'Nb': 12, 'O': 26}",3.17
2dm-899,"{'In': 18, 'Te': 9}",1.53
2dm-900,"{'Ga': 18, 'Te': 9}",1.38
2dm-901,"{'In': 18, 'Se': 9}",1.5
2dm-902,"{'In': 18, 'Te': 9}",1.53
2dm-903,"{'Ga': 18, 'Te': 9}",1.38
2dm-907,"{'Mn': 6, 'I': 18}",2.33
2dm-910,"{'Ga': 18, 'Se': 9}",1.35
2dm-914,"{'Ni': 2, 'Sn': 8}",10.19
2dm-915,"{'Be': 10, 'Rh': 2}",10.88
2dm-916,"{'Zn': 3, 'Cl': 6}",1.13
2dm-917,"{'Ca': 2, 'Co': 1}",1.29
2dm-918,"{'Pd': 2, 'Pb': 8}",10.05
2dm-6390,"{'Co': 2, 'Pb': 8}",10.06
2dm-921,"{'Ge': 12, 'Rh': 4}",2.21
2dm-922,"{'Ga': 8, 'S': 6}",2.75
2dm-926,"{'Al': 2, 'Se': 3}",0
2dm-6391,"{'Au': 4, 'Se': 2}",1.25
2dm-932,"{'Ca': 1, 'Pb': 2}",9.74
2dm-933,"{'Ba': 2, 'Co': 1}",1.47
2dm-934,"{'Mg': 2, 'Zn': 1}",1.49
2dm-936,"{'Y': 1, 'Cl': 2}",1.42
2dm-938,"{'Zn': 3, 'F': 6}",0.8
2dm-943,"{'Ba': 2, 'Bi': 1}",9.41
2dm-944,"{'Hf': 2, 'C': 4}",11.52
2dm-6392,"{'In': 1, 'Sb': 1}",0
2dm-946,"{'Ca': 2, 'Zn': 1}",1.48
2dm-947,"{'Hf': 2, 'Zn': 2}",2.29
2dm-949,"{'Ru': 2, 'I': 6}",1.34
2dm-6393,"{'Tl': 1, 'Sb': 1}",0
2dm-955,"{'Pu': 1, 'I': 3}",2.06
2dm-958,"{'Ga': 4, 'Cl': 4}",1.36
2dm-959,"{'Tb': 2, 'F': 2}",2.11
2dm-960,"{'Sm': 1, 'Sn': 2}",9.02
2dm-961,"{'Cr': 2, 'S': 4}",1.23
2dm-963,"{'Y': 1, 'C': 3}",0
2dm-964,"{'Ca': 2, 'Ag': 2}",1.22
2dm-966,"{'In': 4, 'Cl': 4}",1.47
2dm-967,"{'Ti': 2, 'Sn': 4}",11.25
2dm-972,"{'Pr': 1, 'Pb': 5}",9.81
2dm-973,"{'Sb': 6, 'C': 2}",0.84
2dm-974,"{'Ti': 2, 'C': 4}",11.56
2dm-975,"{'Ge': 12, 'Ir': 4}",2.23
2dm-976,"{'Tl': 2, 'Bi': 6}",0.86
2dm-6394,"{'In': 1, 'Bi': 1}",0
2dm-978,"{'U': 2, 'Cl': 6}",1.41
2dm-6395,"{'In': 1, 'As': 1}",0
2dm-984,"{'Y': 2, 'F': 2}",2.09
2dm-985,"{'Pt': 4, 'Pb': 12}",2.41
2dm-990,"{'As': 6, 'Pb': 2}",0.81
2dm-992,"{'Ca': 2, 'Cd': 1}",1.56
2dm-995,"{'Ga': 3, 'Co': 1}",1.63
2dm-997,"{'Mg': 2, 'Ag': 2}",0.98
2dm-1000,"{'Eu': 1, 'N': 2}",0.58
2dm-1001,"{'Ce': 1, 'Pb': 5}",9.75
2dm-1002,"{'Be': 2, 'Zn': 1}",1.47
2dm-1005,"{'Al': 1, 'Cl': 1}",1.05
2dm-1008,"{'Ge': 4, 'P': 8}",1.83
2dm-1009,"{'Zr': 3, 'Se': 2}",10.91
2dm-1010,"{'Se': 8, 'O': 18}",0.98
2dm-1014,"{'B': 4, 'I': 4}",1.21
2dm-1015,"{'Sr': 2, 'Bi': 1}",9.64
2dm-1020,"{'Cu': 2, 'F': 2}",10.21
2dm-1024,"{'Tl': 2, 'Se': 3}",0.01
2dm-6398,"{'Ga': 1, 'Sb': 1}",0
2dm-1026,"{'Al': 2, 'O': 1}",1.17
2dm-1027,"{'Ca': 1, 'Si': 2}",2.02
2dm-1033,"{'Ga': 4, 'I': 4}",1.54
2dm-1036,"{'Y': 2, 'Sn': 1}",1.46
2dm-1039,"{'Ca': 2, 'As': 1}",9.8
2dm-1042,"{'Sr': 1, 'Sn': 2}",9.71
2dm-1048,"{'Th': 1, 'F': 2}",1.19
2dm-1050,"{'Mg': 2, 'Cd': 1}",1.68
2dm-1053,"{'Ce': 1, 'Sn': 5}",9.36
2dm-1054,"{'Cu': 2, 'Br': 2}",10.21
2dm-1059,"{'Au': 2, 'Br': 2}",10.1
2dm-1060,"{'Be': 1, 'Si': 2}",1.58
2dm-1062,"{'S': 6, 'N': 4}",1.65
2dm-1063,"{'Ce': 1, 'Si': 2}",0.95
2dm-1070,"{'Cu': 2, 'I': 2}",10.2
2dm-1071,"{'La': 1, 'Si': 3}",0
2dm-1075,"{'Cu': 1, 'F': 1}",0.02
2dm-6400,"{'Ga': 1, 'P': 1}",0
2dm-1082,"{'B': 1, 'Br': 1}",0.96
2dm-1083,"{'Sb': 8, 'Pb': 4}",2.22
2dm-1085,"{'Ba': 2, 'P': 1}",1.41
2dm-1089,"{'La': 2, 'Pb': 1}",9.36
2dm-1092,"{'Pr': 1, 'Si': 5}",10.01
2dm-1093,"{'Tl': 2, 'Sb': 6}",0.76
2dm-1096,"{'Zn': 1, 'Cl': 2}",1.13
2dm-1099,"{'Al': 4, 'Cl': 4}",1.3
2dm-1100,"{'H': 2, 'Pb': 6}",11.56
2dm-1106,"{'Ta': 4, 'O': 10}",1.99
2dm-1107,"{'Au': 2, 'I': 2}",10.08
2dm-1108,"{'Ru': 1, 'Pb': 2}",9.54
2dm-1114,"{'Sn': 2, 'Ru': 1}",9.55
2dm-1116,"{'Be': 2, 'Ag': 2}",0.69
2dm-1118,"{'Bi': 4, 'O': 8}",2.27
2dm-1121,"{'Au': 2, 'F': 2}",9.93
2dm-1123,"{'Ga': 2, 'Se': 3}",0
2dm-1126,"{'B': 2, 'S': 2}",1.35
2dm-1128,"{'Np': 1, 'Br': 3}",1.89
2dm-1129,"{'Sr': 2, 'Co': 1}",1.39
2dm-1130,"{'Ni': 3, 'N': 6}",10.86
2dm-1131,"{'In': 3, 'Co': 1}",1.77
2dm-1133,"{'Pd': 2, 'C': 8}",8.53
2dm-1134,"{'Ga': 2, 'Bi': 6}",0.83
2dm-1140,"{'Tb': 2, 'Pb': 1}",2.14
2dm-1142,"{'Y': 1, 'F': 2}",1.07
2dm-1143,"{'C': 1, 'S': 1}",0.45
2dm-1144,"{'Tl': 2, 'N': 6}",0.78
2dm-6401,"{'Al': 1, 'As': 1}",0
2dm-1151,"{'Ce': 1, 'C': 2}",0.54
2dm-1153,"{'Bi': 4, 'O': 6}",10.31
2dm-1155,"{'Hf': 2, 'Si': 4}",10.49
2dm-1156,"{'Ce': 1, 'Sn': 2}",1.21
2dm-1158,"{'W': 3, 'O': 8}",1.85
2dm-1160,"{'Tl': 3, 'Rh': 1}",1.9
2dm-1161,"{'Sr': 2, 'Ag': 2}",1.37
2dm-1162,"{'Al': 2, 'N': 6}",0.48
2dm-1163,"{'Ga': 3, 'Rh': 1}",1.7
2dm-1164,"{'Ca': 1, 'Sn': 2}",9.81
2dm-1165,"{'Sr': 2, 'Cd': 1}",1.61
2dm-1166,"{'Sn': 6, 'Bi': 6}",2.01
2dm-1167,"{'In': 3, 'Rh': 1}",1.85
2dm-1171,"{'Be': 2, 'Au': 2}",0.7
2dm-1176,"{'Al': 2, 'Bi': 6}",0.8
2dm-1179,"{'Cu': 1, 'S': 2}",1.07
2dm-1181,"{'Mg': 1, 'Si': 2}",1.88
2dm-1182,"{'Sc': 2, 'Sn': 1}",10.52
2dm-1183,"{'Ga': 4, 'I': 4}",10.01
2dm-1186,"{'In': 4, 'I': 4}",1.63
2dm-1188,"{'Mg': 2, 'Au': 2}",0.97
2dm-1193,"{'Np': 1, 'I': 3}",2.06
