,Unnamed: 0,atom_counts,puckering
404,404,"{'Pt': 4, 'Pb': 12}",Puckered
405,405,"{'As': 6, 'Pb': 2}",Puckered
406,406,"{'Ca': 2, 'Cd': 1}",Puckered
407,407,"{'Ga': 3, 'Co': 1}",Puckered
408,408,"{'Mg': 2, 'Ag': 2}",Puckered
409,409,"{'Eu': 1, 'N': 2}",Puckered
410,410,"{'Ce': 1, 'Pb': 5}",Puckered
411,411,"{'Be': 2, 'Zn': 1}",Puckered
412,412,"{'Al': 1, 'Cl': 1}",Puckered
413,413,"{'Ge': 4, 'P': 8}",Puckered
414,414,"{'Zr': 3, 'Se': 2}",Puckered
415,415,"{'Se': 8, 'O': 18}",Puckered
416,416,"{'B': 4, 'I': 4}",Puckered
417,417,"{'Sr': 2, 'Bi': 1}",Puckered
418,418,"{'Cu': 2, 'F': 2}",Puckered
419,419,"{'Tl': 2, 'Se': 3}",Puckered
420,420,"{'Ga': 1, 'Sb': 1}",Planar
421,421,"{'Al': 2, 'O': 1}",Puckered
422,422,"{'Ca': 1, 'Si': 2}",Puckered
423,423,"{'Ga': 4, 'I': 4}",Puckered
424,424,"{'Y': 2, 'Sn': 1}",Puckered
425,425,"{'Ca': 2, 'As': 1}",Puckered
426,426,"{'Sr': 1, 'Sn': 2}",Puckered
427,427,"{'Th': 1, 'F': 2}",Puckered
428,428,"{'Mg': 2, 'Cd': 1}",Puckered
429,429,"{'Ce': 1, 'Sn': 5}",Puckered
430,430,"{'Cu': 2, 'Br': 2}",Puckered
431,431,"{'Au': 2, 'Br': 2}",Puckered
432,432,"{'Be': 1, 'Si': 2}",Puckered
433,433,"{'S': 6, 'N': 4}",Puckered
434,434,"{'Ce': 1, 'Si': 2}",Puckered
435,435,"{'Cu': 2, 'I': 2}",Puckered
436,436,"{'La': 1, 'Si': 3}",Planar
437,437,"{'Cu': 1, 'F': 1}",Puckered
438,438,"{'Ga': 1, 'P': 1}",Planar
439,439,"{'B': 1, 'Br': 1}",Puckered
440,440,"{'Sb': 8, 'Pb': 4}",Puckered
441,441,"{'Ba': 2, 'P': 1}",Puckered
442,442,"{'La': 2, 'Pb': 1}",Puckered
443,443,"{'Pr': 1, 'Si': 5}",Puckered
444,444,"{'Tl': 2, 'Sb': 6}",Puckered
445,445,"{'Zn': 1, 'Cl': 2}",Puckered
446,446,"{'Al': 4, 'Cl': 4}",Puckered
447,447,"{'H': 2, 'Pb': 6}",Puckered
448,448,"{'Ta': 4, 'O': 10}",Puckered
